x;y;z;vx;vy;vz
-9.622162207961082;-0.5812883377075195;0.5473427474498749;-13.768873071670532;-497.0538021087646;164.76734733581543
-6.125723384320736;0.6790280342102051;0.0792190432548523;-96.64347753524781;-437.0579219818115;255.46743965148923
-6.885318271815777;0.46001672744750977;-1.2112051248550415;-101.4933334350586;-416.55800590515133;237.6423797607422
-7.730565033853054;2.2480130195617676;0.3006644546985626;-176.0813175201416;-447.00665721893307;205.16902542114258
-6.255258433520794;-0.3520846366882324;-0.3250434994697571;-50.11948571205139;-449.688394165039;190.89140510559082
-6.141063384711742;0.1165151596069336;-1.7070472240447998;-98.77407417297364;-459.0368438720703;282.58647537231445
-8.341397903859615;1.0639071464538574;-1.4282293617725372;-80.75706110000611;-429.495694732666;236.419921875
-8.660234324634075;-1.3651728630065918;-0.573219358921051;64.54262866973876;-518.4494472503662;155.8330020904541
-9.400752559304237;0.18432140350341797;-0.6422460079193115;-64.40025672912599;-486.43425712585446;208.48619556427002
-7.735352776944637;2.676093578338623;0.05094408988952637;-45.06396517753601;-353.41874847412106;218.81391620635986
-10.521699115633965;0.8046984672546387;-1.4434978365898132;-65.06801948547364;-530.1721168518067;236.09536743164062
-8.705565892159939;0.5329012870788574;-2.705034613609314;-93.12502727508546;-472.1358800888061;250.5540618896484
-7.909334264695644;0.2935051918029785;2.126198261976242;-75.34635887145997;-480.7632089614868;236.40681838989258
-7.01115857809782;0.8539080619812012;-1.030750572681427;-68.26880321502686;-494.3761707305908;202.2968873977661
-9.329682402312756;-1.8725037574768066;1.6728021204471588;-76.1830364227295;-504.43283805847165;309.0348014831543
-8.50581955164671;-1.3702869415283203;-1.2655757367610931;-13.771526670455932;-479.2414451599121;208.95495986938477
-7.823563925921917;-0.764000415802002;-2.4415209889411926;-38.663005685806276;-416.0952926635742;298.0902442932129
-10.213039442896843;1.4145970344543457;1.4759078621864319;-68.59445915222169;-518.2390762329102;145.55835342407227
-6.677073799073696;-1.1326789855957031;0.6420359015464783;-99.53358278274537;-418.54048023223874;229.54147911071777
-8.965295366942883;-1.9144892692565918;-1.8441304564476013;-82.03563795089723;-418.5685182571411;232.83451652526855
-8.5712855681777;-0.2989768981933594;-1.5717387199401855;-35.59897348880768;-453.54817161560055;186.10934829711914
-6.955294869840145;-0.710606575012207;0.41339993476867676;-41.731277561187746;-578.9564491271973;131.43166637420654
-6.505445949733257;0.6577134132385254;-2.0278148353099823;-39.4385968208313;-465.28889427185055;205.64269638061523
-6.457885913550854;-1.6936898231506348;-0.334717333316803;-105.42549476623536;-503.6611057281494;163.21014976501465
-9.4845000654459;-2.5027871131896973;-0.4817157983779907;-185.3796277999878;-433.8684535980224;233.86577224731445
-6.4335426315665245;1.6267061233520508;0.14411956071853638;-43.56045827865601;-504.7168804168701;249.1010055541992
-9.078084491193295;-2.4127721786499023;-1.4934450387954712;-21.602198338508607;-367.613198852539;162.08405113220215
-10.749905928969383;-0.017595291137695312;-0.5515605211257935;-115.58395013809205;-387.4547220230102;320.10698890686035
-9.482955560088158;-0.1774907112121582;-0.6840460002422333;-60.47350988388062;-435.74203739166256;187.4174222946167
-9.747403487563133;-0.9226799011230469;1.8371567130088806;-77.53339633941651;-521.7513538360596;231.23134231567383
-8.686298690736294;0.6028175354003906;-0.5167879164218903;19.58174600601196;-581.1099697113037;177.90247535705566
-6.491127423942089;-0.3991842269897461;-1.528063416481018;-107.07878694534303;-421.2262798309326;121.06765365600586
-10.075730457901955;2.403402328491211;-0.14989972114562988;-80.02640590667725;-438.4145475387573;226.79755783081055
-10.36696471273899;-0.4945993423461914;1.799587905406952;-206.11959800720214;-522.9716373443604;214.40343475341797
-5.717406235635281;-0.06977319717407227;-0.1405365765094757;-49.24698100090027;-398.75892410278317;143.32666969299316
-6.5498946234583855;1.2123942375183105;0.5119152367115021;-48.034869289398195;-388.6308456420898;186.09066581726074
-10.363437607884407;-0.17119646072387695;-0.7622748613357544;-48.84171352386475;-527.0590663909912;187.9716453552246
-9.752946719527245;-0.8803725242614746;-2.195580303668976;-17.066137647628786;-458.77214202880856;263.5033950805664
-8.720660023391247;-1.638185977935791;-1.7649292945861816;-93.1580005645752;-445.57048091888424;206.9074831008911
-5.9425776824355125;-1.691579818725586;0.47258511185646057;-138.08168277740478;-478.8024927139282;230.07099723815918
-6.753291003406048;1.3834118843078613;-0.22869184613227844;-43.40763673782349;-540.7551551818848;218.2029447555542
-7.440953515470028;-1.019883155822754;-0.5311042070388794;51.31573333740234;-456.6524816513061;229.5171604156494
-7.399893365800381;1.4467120170593262;-2.392110228538513;-103.57238159179688;-450.22701034545895;284.87569427490234
-9.133709035813808;-1.3715028762817383;1.6104519367218018;-19.60508451461792;-525.9125972747803;319.8584518432617
-8.931436948478222;-1.3445019721984863;2.436435967683792;5.583801412582398;-504.4429088592529;180.5211410522461
-9.54047329723835;-0.472104549407959;-0.12908130884170532;-81.21312246322633;-528.6903644561768;199.86591911315918
-8.428053371608257;1.900327205657959;-0.5539655685424805;13.031855964660645;-535.5666042327881;230.07503128051758
-9.71587635576725;-1.1482715606689453;-0.4755735397338867;-24.683450317382814;-534.3507553100586;261.80592155456543
